Timestamp,Intensity
1701210298.8814445,1053.256204202586
1701210299.174131,1057.8817887931034
1701210299.2734244,1057.493380926724
1701210299.378116,1052.073325700431
1701210299.477949,1054.9687297952585
1701210299.5779426,1052.3204943426726
1701210299.6781185,1059.8061732219828
1701210299.7779403,1061.2715301724138
1701210299.8777518,1051.9144315732758
1701210299.977805,1055.7808553340517
1701210300.0777411,1051.561333512931
1701210300.1779585,1051.843811961207
1701210300.27774,1055.3571376616378
1701210300.3777125,1053.9270905172414
1701210300.477728,1059.7178987068964
1701210300.5776784,1056.9460789331895
1701210300.6777234,1061.889451778017
1701210300.7777016,1058.941082974138
1701210300.8776865,1052.8501414331897
1701210300.9777799,1053.9270905172414
1701210301.0780284,1054.333153286638
1701210301.1779737,1048.7895137392243
1701210301.277876,1051.3847844827585
1701210301.377652,1053.909435614224
1701210301.4776187,1054.4390827047414
1701210301.577808,1050.025356950431
1701210301.6776292,1057.0166985452588
1701210301.7775815,1063.6725969827585
1701210301.877607,1051.9497413793104
1701210301.9777539,1050.113631465517
1701210302.0776613,1051.331819773707
1701210302.1776295,1056.4870514547413
1701210302.2776203,1049.1955765086207
1701210302.3775673,1052.0027060883622
1701210302.477524,1058.1995770474139
1701210302.578239,1059.6472790948276
1701210302.6775234,1051.402439385776
1701210302.7775414,1051.9497413793104
1701210302.877675,1053.8917807112068
1701210302.977574,1057.0343534482759
1701210303.0774717,1051.0669962284485
1701210303.1777215,1057.5110358297413
1701210303.2774663,1051.5966433189656
1701210303.382817,1056.94607893319
1701210303.4863555,1056.0986435883622
1701210303.589517,1071.7585425646553
1701210303.7041507,1071.7232327586207
1701210303.8238688,1083.7109119073277
1701210303.9399328,1088.3364964978448
1701210304.0006278,1094.868810614224
1701210304.1219683,1092.361814385776
1701210304.1833847,1099.4237755926724
1701210304.3257873,1106.3798073814655
1701210304.4016883,1103.5197130926724
1701210304.4779284,1103.1666150323276
1701210304.6314695,1105.1439641702584
1701210304.708188,1097.640630387931
1701210304.7849467,1104.8614857219827
1701210304.9387758,1103.9610856681034
1701210305.016414,1105.2498935883623
1701210305.0965729,1114.465752963362
1701210305.1818092,1108.674944773707
1701210305.3532367,1113.2475646551725
1701210305.4390438,1111.676278286638
1701210305.5257277,1123.6463025323276
